id;title;client;year;type;description;link;secteur;Contexte;Reponse;outils;technologies;image;mediapath;missions;valid;order
57;Site Internet MAURICE RADIO LIBRE;MAURICE RADIO LIBRE;2011;Site Internet;Nouveau Site pour la Radio libre Associative & site e-commerce;www.mauriceradiolibre.com;Loisirs-Musique;;;;0;rea_web_mrl_diapo.jpg;rea_web_mrl;;;
33;Brochure Online PREMAMAN;PREMAMAN;2007;Brochure Online;Conception / Réalisation du module de lecture en ligne de Brochure PDF. Flash pour Prémaman, mise à jour du site.;www.premaman.fr;Puériculture;;;Flash MX, DreamWeaver, Développement XML, actionScript 2;ActionScript, HTML, CSS, Javascript, XML;rea_web_premaman_diapo.jpg;rea_web_premaman;;;
27;Site Internet RESONNANCES;RESONNANCES;2005;Site Internet;Site Full Flash pur l'agence de publicité Résonnances;www.resonnances.com;Communication;;;Flash;ActionScript;rea_web_resonnances_diapo.jpg;rea_web_resonnances;;;
56;Site Internet SERVICES2IT;SERVICES2IT;2011;Site Internet;Site Admninistré de présentation du Groupe Service 2 IT;www.services2it.com;Industries-Equipement;;;Joomla, HTML5, CSS3, PHP, Javascript, MySQL;Joomla, HTML5, CSS3, PHP, Javascript, MySQL;rea_web_services2it_diapo.jpg;rea_web_services2it;;;
19;Site Internet SKILLMEN and BOARD;SKILLMEN and BOARD;2003;Site Internet;Site Internet pour l'entreprise de Management Skillmen & Board;www.skilmen.fr;Communication;;;DreamWeaver, Macromedia, Photoshop;DreamWeaver, Macromedia, Photoshop;rea_web_skillmen_diapo.jpg;rea_web_skillmen;;;
51;Site Internet SLAM METALLERIE;SLAM METALLERIE;2008;Site Internet;Site Vitrine Administrable Multilangue;www.slam-metallerie.com;Industries-Equipement;;;HTML, CSS, JQuery, MySQL, PHP, Back Office dédié;HTML, CSS, JQuery, MySQL, PHP, Back Office dédié;rea_web_slam_diapo.jpg;rea_web_slam;;;
35;Site Internet TOUR 66 Teaser 1;TOUR 66 Teaser 1;2007;Site Internet;Site événementiel pour la tournée Tour66 de Johnny Hallyday ;0;Loisirs-Musique;;;Flash;ActionScript;rea_web_tour66_diapo.jpg;rea_web_tour66;;;
52;Site Internet TESTE POUR VOUS;TESTE POUR VOUS;2008;Site Internet;Réalisation des pages maitresses pour l'espace abonné du Site Testé pour Vous;www.testepourvous.com;Banque-Assurances;;;;0;rea_web_tpv_diapo.jpg;rea_web_tpv;;;
49;Site Internet FABIENNE FAUSSILLON;FABIENNE FAUSSILLON;2005;Site Internet;"Site Internet en Flash pour Fabienne Faussillon, conceptrice - rédactrice - Freelance. 
";http://fabienne.faussillon.free.fr/;Portfolio;;;;0;rea_web_ventilo_diapo.jpg;rea_web_ventilo;;;
30;Carte Interactive VISITEUROPE;VISITEUROPE;2005;Carte Interactive;"Réalisation d'une carte touristique Interactive l'office de tourisme européen.
";www.visiteurope.com;Tourisme;;;"Montage graphique vectoriel (Illustrator + Flash). 
Programmation en class ActionScript 2
Conception des animations de transition avec les classes Tween Zigo
Compilation en Flash MX vers swf v8.
Chargement de contenus externes administrés en XML
";"ActionScript, HTML, CSS, Javascript, Tween Zigo, XML
";rea_web_visiteurope_diapo.jpg;rea_web_visiteurope;;;
40;Site Internet VU INTEGRAL;VU INTEGRAL;2010;Site Internet;"Réalisation et montage du site de l'agence Vu Integral. Déploiement d'un système 100% administrable.
";www.vuintegral.com;Communication;;;;ActionScript, HTML, CSS, PHP, Javascript, MySQL;rea_web_vu_diapo.jpg;rea_web_vu;;;
34;Site Internet WINE IN PRIVATE;WINE IN PRIVATE;2010;Site Internet;"Site Full Flash pour une agence de communication spécialisée dans le vin
";0;Communication;;;Flash;ActionScript;rea_web_wip_diapo.jpg;rea_web_wip;;;
36;Site Internet TOUR 66 Site Open;TOUR 66 Site Open;2007;Site Internet;Site événementiel pour la tournée Tour66 de Johnny Hallyday ;0;Loisirs-Musique;;;Flash;ActionScript;;;;;
37;Site Internet TOUR 66 Commercial Site;TOUR 66 Commercial Site;2007;Site Internet;Site événementiel pour la tournée Tour66 de Johnny Hallyday ;0;Loisirs-Musique;;;Flash;ActionScript;;;;;
38;Site Internet TOUR 66 Teaser & Site;TOUR 66 Teaser & Site;2008;Site Internet;Site événementiel pour la tournée Tour66 de Johnny Hallyday ;0;Loisirs-Musique;;;Flash;ActionScript;;;;;
39;Brochure Online LOCABOAT;LOCABOAT;2010;Brochure Online;Conception / Réalisation du module de lecture en ligne de Brochure PDF. Flash pour Locaboat.;http://www.locaboat.com/73/lire-en-ligne.html;Nautique;;;Flash MX, DreamWeaver, Développement XML, actionScript 2;ActionScript, HTML, CSS, Javascript, XML;;rea_bol_locaboat;;;
58;Site Internet EDF - NETSEENERGY;EDF - NETSEENERGY;2013;Site Internet;Nouveau Site pour NetSeenergy, filiale du groupe EDF;www.netseenergy.fr;Industries-Equipement;;;Joomla 3 + Composants sur mesure;Joomla 3 + Composants sur mesure;;rea_web_netseenergy;;;
59;Site Internet YOUZIKME;YOUZIKME;2013;Site Internet;Réalisation d'un site communautaire destiné aux musiciens.;www.youzikme.com;Loisirs-Musique;;;HTML, CSS, JQuery, MySQL, PHP, Back Office dédié;HTML, CSS, JQuery, MySQL, PHP, Back Office dédié;;rea_web_youzikme;;;
60;Site Internet La putain de BD;La putain de BD;2013;Site Internet;Site dédié à la promotion de la sortie d'une BD;laputaindebd.mauriceradiolibre.com;Edition;;;Bootstrap 3, PluXML, CSS3, HTML5, Responsive design  ;Bootstrap 3, PluXML, CSS3, HTML5, Responsive design  ;;rea_web_putainbd;;;
61;Site Internet Le Blog podcasts;Le Blog podcasts;2013;Site Internet;Site dédié à la réécoute des émisisons de radio;podcasts.mauriceradiolibre.com;Edition;;;Jquery Mobile, PluXML, CSS3, HTML5, Responsive design  ;Jquery Mobile, PluXML, CSS3, HTML5, Responsive design  ;rea_web_podcasts_diapo.jpg;rea_web_podcasts;;;
62;Site Internet Le Site Rock Symbol;Le Site Rock Symbol;2014;Site Internet;Création du site Officiel de l'unique bateau Radio naviguant.;rock-symbol.mauriceradiolibre.com;Edition;;;Bootstrap 3, PluXML, CSS3, HTML5, Responsive design  ;Bootstrap 3, PluXML, CSS3, HTML5, Responsive design  ;;rea_web_rocksymbol;;;
63;Site Internet ANARLF;ANARLF;2015;Site Internet;Site de documentation dédié à l'association de Neuro-Anesthésie Réanimation ;www.anarlf.eu;Médical;;;Zend, Eclipse, Flex, HTML, CSS, PHP, Javascript, MySQL;Zend, Eclipse, Flex, HTML, CSS, PHP, Javascript, MySQL;;rea_web_anarlf;;;
64;Site Internet DOC-BIKER;DOC-BIKER;2014;Site Internet;Refonte complète du Site Internet, optimisation et suivi SEO, Webmastering;www.docbiker.com;Auto-Moto;;;Bootstrap 3, Joomla 3, CSS3, HTML5, Responsive design  ;Bootstrap 3, Joomla 3, CSS3, HTML5, Responsive design  ;;rea_web_docbikerwd;;;
65;Newsletter CUENDET;CUENDET;2004;Newsletter;Newsletter Location de Maison Cuendet;www.cuendet.com;Tourisme;;;;0;rea_web_cuendet_diapo.jpg;rea_web_cuendet;;;
66;Newsletter GUADELOUPE;GUADELOUPE;2004;Newsletter;Newsletter pur les îles de Guadeloupe;www.lesilesdeguadeloupe.com/;Tourisme;;;;0;;rea_web_guadeloupe;;;
67;Site Internet BOURGOGNE;BOURGOGNE;2004;Site Internet;Site Internet pour l'Office de Tourisme de Bourgogne;www.bourgogne-tourisme.com;Tourisme;;;;0;;rea_web_bourgogne;;;
68;Site Internet Le Site BIG MAMA;Le Site BIG MAMA;2015;Site Internet;Création du site Officiel de BIG MAMA, acteur majeur de la vidéo Broadcast et entreprises.;www.bigmama.fr;Audiovisuel;;;Bootstrap 3, Joomla, CSS3, HTML5, Responsive design  ;Bootstrap 3, Joomla, CSS3, HTML5, Responsive design  ;rea_web_bigmama_diapo.jpg;rea_web_bigmama;;;
69;Campagnes DOMINO-PRINTING;DOMINO-PRINTING;2018;Campagnes;;;Industries-Equipement;;;;;rea_web_domino_diapo,jpg;rea_web_domino;;;
70;Site Internet ILEXEN;ILEXEN;2017;Site Internet;;;Juridique;;;;;rea_web_ilexen_diapo,jpg;rea_web_ilexen;;;
